doctor_id,Doctor,hospital_id
31326,Phillip Williams,19837
26665,Maureen Hill,34971
14874,Heidi Compton MD,11866
22702,Kimberly Gonzalez,15344
31836,Rebecca Morgan,30141
33606,Sabrina Rogers,35163
22302,Kevin Brown,31617
34176,Sarah Cole,18644
17280,Jennifer Hall,10851
12627,Emily Cruz,4078
27386,Michael Anderson,26848
29571,Natalie Sellers,30687
30793,Patrick Ochoa,1302
9414,Daniel Rodgers,17733
37049,Taylor Baldwin,16694
289,Adam Ross,30545
1852,Amy Williams,12407
25998,Martha Graham,13976
12765,Emily Thomas,33698
37291,Terrance Rosales,31893
9436,Daniel Smith,482
25718,Marissa Stevenson,265
21514,Katie Fitzpatrick,35371
10771,Dennis Small,29925
7167,Chris Holt,26840
17535,Jenny Griffith,8647
14361,Gregory Lambert,33345
27393,Michael Armstrong,18593
27277,Melissa Terry,20263
37521,Thomas Bruce,21422
15780,James James DVM,10873
34712,Sean Smith,38711
18787,John Hansen,13508
37234,Teresa Mccarthy,154
35783,Stephanie Barnett,11066
28981,Mr. Luke Nunez Jr.,9790
35733,Stacy Stewart,13537
2009,Andrea Oneal,18114
12851,Eric Coleman,9884
2890,Anthony Barnes,24648
27609,Michael Hickman,37564
12011,Dustin Wolf,29027
1465,Amanda Wells,23536
16558,Jason Miller,10323
15014,Holly James,5793
3197,April Cox,1228
39479,Virginia Lynch,7038
30589,Patricia Fuller,26816
28289,Michelle Ward,10475
32919,Robin Adams,25187
12711,Emily Morales,38256
369,Adriana Morrow,14828
27728,Michael Mitchell,935
6159,Caroline Choi,19081
27823,Michael Robinson,18206
14762,Heather Miller,11837
15069,Howard Obrien,17373
13447,Faith Cook,19936
11366,Donna Colon,13991
10016,David Lindsey,37624
3031,Anthony Nixon,25308
11480,Doris Hawkins,38240
5781,Caleb James,20589
30645,Patricia Moore,11507
26457,Matthew Gray,31767
20623,Justin Lowe,23716
9636,Danny Mcdonald,7539
14130,Gina Weaver,20512
12097,Eddie Jackson,13312
28452,Miss Valerie Saunders MD,26916
32311,Richard Petty,20678
30546,Patricia Bean,19676
33153,Ronald Jones,21404
15265,Jack Wall,18339
13479,Felicia Morrison,10528
8800,Crystal Schultz,5471
3732,Bailey Gonzalez,26243
27585,Michael Guzman,5395
12401,Elizabeth Flowers,30679
39766,Whitney Vaughan,39474
34770,Seth Nelson,23181
13302,Erin Wright,2265
17246,Jennifer Flores,32288
4464,Brandi Knight,9840
6651,Chad Irwin,35412
39410,Victoria Williams,35786
38723,Travis Walton,1047
6508,Catherine Hernandez,37203
22978,Kristen Johnson,10549
36805,Tammy Chavez,12160
34384,Savannah Colon,1158
18111,Jessica Parks MD,24506
20101,Joshua Singleton,15155
39441,Vincent Ramirez,25154
29616,Natasha Smith,21443
18992,John Sparks,36131
28142,Michelle Gutierrez,19733
31518,Rachel Williams,13421
34745,Sergio Shelton,33512
29006,Mr. Michael White MD,35998
26140,Mary Drake,613
38452,Tonya Wade,23290
6906,Charles Torres,2500
17252,Jennifer Freeman,31816
31971,Reginald Becker,32142
6917,Charles Webb,1625
12729,Emily Perez,22395
31509,Rachel Thomas,9957
7681,Christopher Flores,28111
17481,Jennifer Stevenson,27126
26446,Matthew Garcia,17122
4947,Brett Meyer,23730
10065,David Murphy,15862
13238,Erin Henson,28848
21573,Katrina Fuentes,5543
14605,Harold Jackson,26619
7823,Christopher Merritt,25769
14480,Haley Kim,15873
11868,Dr. Steven Johnson,26057
13203,Erin Cole,38761
4730,Breanna Nielsen,32114
18990,John Smith,11607
13579,Frank Gonzalez,6962
26649,Matthew Williams,35022
19219,Jonathan Gray,23499
38043,Timothy Rodriguez,12848
39305,Victor Welch,4052
32484,Robert Adams MD,5257
2148,Andrew Jefferson,39786
35040,Sharon Hensley,37120
13357,Eugene Branch,977
2952,Anthony Greer,17869
4256,Bob Moyer,4955
14805,Heather Shea,32191
29940,Nicholas Stevenson,18488
23649,Laura Guerra,16632
27980,Michele Bradford,17914
28908,Mr. Jesse Cook,21866
14806,Heather Simon,34979
23521,Larry Mendez,1083
37148,Taylor Smith,22229
15136,Ian Singleton,36987
2357,Angela Burton,20373
24641,Lisa Payne,39587
34100,Sara Perry,4774
2633,Ann Brown,33455
10026,David Marshall,10908
35496,Shirley Dawson,39068
36509,Susan Hernandez,31641
14088,Gina Edwards,39750
23666,Laura Howell,10435
34425,Scott Beltran,27122
39812,William Campbell,3552
13324,Ethan Brock,27870
29833,Nicholas Gomez,37583
32165,Richard Buchanan,28476
9927,David Gonzalez,1195
23139,Kristin Schmitt,36154
21924,Kelly King,16041
16850,Jeffery Morgan,21610
30584,Patricia Fowler,11907
10090,David Patterson,20502
9034,Daisy Eaton,7151
3916,Benjamin Bryant,32025
9014,Cynthia Velazquez,17399
39802,William Brock,12007
11551,Douglas Lambert,7555
539,Alex Mcknight,36838
14324,Gregory Fox,5007
6300,Carrie Navarro,9596
23700,Laura Murillo,37608
1191,Alyssa Walsh,20667
16790,Jeff Barton,15418
32406,Ricky Anderson,23348
18809,John Hurst,35897
8699,Cristina Wyatt,30101
7301,Christina Fowler,37816
13829,Gary Barr,17550
13684,Frederick Whitney,34577
26232,Mary Miller,1280
13388,Evan Lewis,28107
375,Adrienne Howard,39825
9327,Daniel Jones,18204
8682,Craig Wolfe,10768
38120,Tina Griffin,3377
18787,John Hansen,16333
38739,Trevor Evans,8850
25851,Mark Johnson,4252
15752,James Hays,18949
29821,Nicholas Ferguson,34996
28896,Mr. Jeffrey Powell,18324
37926,Timothy Carter,9545
17263,Jennifer Gonzales,6331
24066,Leonard Chen,20171
25437,Margaret Ramos,23990
20142,Joy Davis,17169
26227,Mary Mckee,39325
18740,John Evans,14826
3994,Benjamin Payne,6969
16775,Jeanne Allen,1629
21916,Kelly Jackson,34162
27407,Michael Barber,10073
36209,Steven Clark,21428
1630,Amy Bailey,21360
8203,Cody Houston,11301
14386,Gregory Nichols,3404
7847,Christopher Odom,572
31664,Raymond Bell,28714
3707,Autumn Fitzgerald,12954
15609,James Armstrong,3679
9666,Darius Schaefer,9106
21119,Katherine Dunn,18390
21122,Katherine Flynn,2182
20375,Julian Perkins,17622
15045,Holly Taylor,35599
25859,Mark King,14517
35292,Shelby Johnson,5335
2456,Angela Logan MD,39799
14216,Gloria Schultz,16486
39291,Victor Morales,17243
29501,Nancy Vaughn,19332
7886,Christopher Rivera,33752
5434,Brittany Rocha,27948
30601,Patricia Hall,18249
7753,Christopher Hudson,28824
39525,Walter Perez,2559
19183,Jonathan Chang,20977
25551,Maria Ritter,12858
12562,Elizabeth Snyder,10795
10736,Dennis Harris,21024
6161,Caroline Fields,32181
19819,Joseph Rivera,16617
6873,Charles Reynolds,13816
30697,Patricia Valentine,6966
2497,Angela Reed,4184
11482,Doris Johnson,12608
10966,Devin Pratt,34224
2339,Angela Allison,2085
31333,Phyllis Nguyen,9362
27198,Melissa Mendoza,11061
7589,Christopher Bates,10908
3199,April Cummings,5563
2136,Andrew Hill,35888
36587,Susan Sampson,31339
9726,Darren Becker,20999
24046,Lee Santiago,18873
15051,Holly Walton,14821
8654,Craig Howard,39851
11138,Diane Riley,2178
18977,John Schroeder,5193
25973,Mark Watson,5996
11108,Diane Griffin,582
22189,Kenneth Mcintosh,8554
39347,Victoria Hernandez,29744
10221,David Zavala,34649
13665,Frederick Fields,25097
27751,Michael Nguyen,2898
6344,Casey Fowler,11758
27726,Michael Miller,24222
21712,Kaylee Hampton,24183
1520,Amber Gordon,39833
8315,Colleen Meyers,3371
12292,Eileen Hernandez,14901
6324,Carrie Wright,9183
17058,Jeffrey Schmidt,22924
15550,Jaime Bell,7923
5018,Brian Cooper,7710
2949,Anthony Graves,10262
38511,Traci White MD,31741
12923,Eric Lutz,14828
4779,Brenda Hill,28459
31133,Peter Brown,36297
3907,Benjamin Banks,33528
29559,Natalie Perez,37670
13112,Erica Williams,30947
16393,Jasmine Webb,37174
9834,David Cabrera,516
20426,Julie Gonzales,32332
20304,Julia Campbell,18384
40307,Zachary Robinson,7461
7547,Christine Smith,1162
3754,Barbara Burgess,10711
25191,Malik Goodwin,37235
11065,Diana Shaw,23270
27695,Michael Mason,1192
784,Alexis Bradford,15078
16380,Jasmine Parker,21026
7343,Christina Lopez,6676
32206,Richard Franco,20035
25275,Marc Reid,8351
33547,Ryan Simmons,10725
8158,Clinton Sanchez,19481
8051,Cindy Gonzalez,28346
8018,Christy Ochoa,21714
13715,Gabriel Livingston,580
25109,Mackenzie Phillips,22907
13713,Gabriel Lane,15659
39734,Whitney Chavez,25465
37028,Tara Tucker,23174
11927,Dustin Alvarez,22243
17961,Jessica Conway,19385
14920,Heidi Wood,1388
9930,David Gordon,610
19323,Jonathan Thomas,8144
24803,Lori Diaz,20752
26033,Martin Dominguez,13903
284,Adam Roberts,7292
29424,Nancy Beck,29638
8007,Christy Hughes,4163
6785,Charles Hernandez,38032
14511,Hannah Clay,4628
36221,Steven Dixon,12716
28664,Monica Thomas,28772
642,Alexander Moore,13811
8861,Curtis Mckinney,24362
35952,Stephanie Shepard,23916
33349,Russell Soto,34292
6746,Charles Cardenas,2417
4585,Brandon Montoya,25791
2069,Andrew Bishop,7116
9423,Daniel Sanders,13790
17575,Jeremiah Nunez,35015
6229,Carolyn Peters,15460
31001,Paul Ruiz,4768
32761,Robert Palmer,16459
24526,Lisa Grimes,12328
33197,Ronald Russell,4444
38484,Tracey Smith,9178
25733,Mark Baker,32827
3677,Austin Perry,27318
11801,Dr. Mackenzie Bell,662
22642,Kimberly Calhoun,13492
37895,Timothy Aguilar,22864
9004,Cynthia Stanton MD,17098
8633,Craig Delgado,10902
8590,Courtney Parsons,24794
33889,Sandra Barker,16549
27613,Michael Hogan,14074
38325,Toni Perry MD,9043
39782,William Bailey,29384
37840,Tiffany Ortega,14110
40111,Willie Lowery,14279
15549,Jaime Allen,2975
3875,Becky Jones,38154
37787,Tiffany Frank,36245
18561,Joe Mora,36265
37276,Teresa Tucker,10869
33293,Ruben Cross,27758
37932,Timothy Choi,34878
32692,Robert Lester,17948
33891,Sandra Bender,17262
26047,Martin Smith,18543
26005,Martha Johnson,35654
27343,Mercedes Harris,21288
14309,Gregory Chung,24982
16009,James Young,11452
5955,Carla Combs,23889
31181,Peter Martinez,27340
7938,Christopher Spears,38443
6279,Carrie Howell,18441
38163,Tina Ray,31732
10405,Debbie Jones,9849
3035,Anthony Ortiz,4131
16632,Jason Stewart,38987
10803,Derek Dorsey,27000
39815,William Carter,19542
2308,Angel Jones,837
7688,Christopher Fowler,28196
35857,Stephanie Herrera,14583
34489,Scott Herring,4978
2374,Angela Cook,25342
27504,Michael Davis,33791
37591,Thomas Hunt,10360
12040,Dylan Hale,20560
4386,Bradley Holt,2283
33982,Sandra Powers,17475
13375,Evan Campbell,26724
36721,Sylvia Villarreal,16408
26482,Matthew Hopkins,26178
19765,Joseph Miller,29429
6855,Charles Palmer,24421
27902,Michael Walters,26078
34575,Scott Smith,31846
30108,Nicole Jensen,8825
4886,Brent Dickerson,7968
30218,Nicole Young,18916
16281,Jared Kemp,27324
10730,Dennis Gilbert,18652
39969,William Mcguire,37481
18245,Jesus Wagner,11613
19509,Jose Cooley,26356
2083,Andrew Clark,35794
13438,Evelyn Patterson,10908
25492,Maria Estes,26813
29258,Mrs. Linda Miles,39240
6573,Catherine Wiley,4573
30297,Olivia Nichols,21659
7255,Christie Vargas,8906
29749,Nathaniel Jacobson,23321
21619,Kayla Clark,1832
18033,Jessica Jackson,16623
25062,Lynn Benson,30275
27513,Michael Dodson MD,38725
10074,David Nunez,436
24352,Lindsay Pierce,35102
11733,Dr. Jeffrey Barnes Jr.,21883
23069,Kristie Roberts,31037
1071,Allison Harper,23661
14722,Heather Howard,39091
39251,Vickie King,9258
7991,Christopher Yoder,12078
26554,Matthew Nelson,19098
26038,Martin Lynch,7037
9941,David Hall,3096
4020,Benjamin Tyler,19939
38852,Tyler Adams DDS,18808
40082,William White,23325
1463,Amanda Webb,16489
38674,Travis Holmes,31729
1824,Amy Small,32680
21131,Katherine Gutierrez,15287
36511,Susan Hess,33453
23023,Kristen Thornton,14056
17760,Jerry Fisher,13400
12495,Elizabeth Miller,29426
31977,Reginald Grimes,13756
36375,Steven Smith,33763
21055,Katelyn Davis,28941
26495,Matthew Jones,33745
11070,Diana Tran,31965
22390,Kevin Kelley,9071
2951,Anthony Green,8960
19427,Jordan Porter,4343
15968,James Thompson,16043
1985,Andrea King,2568
24961,Lucas Torres,5866
34205,Sarah Garcia,24078
1203,Amanda Alvarado,10863
33725,Samantha Preston,29809
10033,David Maxwell,19272
22307,Kevin Butler,23052
34957,Shannon Sanchez,1482
35346,Shelly Bright,11522
35989,Stephanie Wilcox,5111
1682,Amy Diaz,33577
35648,Stacey Nguyen,26717
31218,Peter Wright,27783
12982,Eric Shaw,5303
36489,Susan Gaines,3081
8343,Collin Green,20234
32231,Richard Harris,9605
6767,Charles Fernandez,11174
23426,Kyle Williams MD,2713
36579,Susan Rios DDS,21932
34241,Sarah Ibarra,560
19177,Jonathan Burns MD,32571
17382,Jennifer Miller,11402
40310,Zachary Scott,25994
10766,Dennis Robbins,14998
34702,Sean Rodgers,21805
29698,Nathan Payne,15689
23170,Kristina Gray,14010
31932,Regina Bryant,31038
20843,Karen Donovan,1018
1554,Amber Lopez,16393
39154,Vernon Diaz,4346
25040,Luke Nunez,39312
26319,Mary Williams,33279
14124,Gina Richards,26210
20529,Julie West,32247
14269,Greg Scott,2830
38618,Tracy Serrano,10495
32066,Rhonda Gilbert,12127
31111,Penny Bryant,19951
12249,Edward Webster,27217
4524,Brandon Flores,19583
8551,Courtney Crane,37230
13013,Eric Wallace,33683
30153,Nicole Norton,32197
2380,Angela Cunningham,7034
18094,Jessica Morgan,31833
34991,Shari Foster,14511
9507,Danielle Collins,21166
4067,Beth Mckenzie,21155
13387,Evan Johnson,6454
39682,Wendy Rivera,7394
8065,Cindy Maxwell,17830
8750,Crystal Hays,10016
16687,Jay Barr,38914
24594,Lisa Long,4861
5280,Brianna Kelly,1644
9943,David Hanson,16855
10165,David Stevens,36611
32146,Richard Ayala,34882
29625,Nathan Adams,25602
17392,Jennifer Munoz,35007
4044,Beth Brown,38118
20897,Karen Jones,15208
34752,Seth Burnett,6604
22386,Kevin Johnson,36425
20421,Julie Garza,25433
5111,Brian Mack,38931
17325,Jennifer Johnson,39605
19610,Joseph Barnes,34556
9768,Daryl Cross,33685
19205,Jonathan Edwards,3120
223,Adam Hardy,28452
32495,Robert Ashley,9516
26304,Mary Vaughn,38121
36372,Steven Simmons,14986
29218,Mrs. Jessica Martinez,35743
13193,Erin Arias,679
9285,Daniel Golden,38878
3004,Anthony Malone,9683
6936,Charlotte Reyes MD,27908
28315,Miguel Green,34199
13683,Frederick White,39433
24671,Lisa Ruiz,3942
8228,Cody Rice,31429
3206,April Foster,3935
20672,Justin Russell,19127
9451,Daniel Thomas,39039
12783,Emily Williamson,25432
39166,Veronica Christian,14388
28636,Monica Odonnell,20788
8172,Cody Berger,25838
17095,Jeffrey White,19113
35611,Stacey Burgess,38151
13350,Ethan Spencer,22264
19160,Jonathan Baker,24455
38405,Tonya Burton,10405
31283,Phillip Campos,3370
4212,Billy Rodgers,11287
35397,Sherri Campbell,28338
542,Alex Neal,35956
25875,Mark Martin,30607
15952,James Smith,18254
1612,Amber Walker,32740
23709,Laura Pena,37481
38639,Tracy Wilson,10425
28098,Michelle Cox,8943
25620,Marie Reed,14001
31266,Philip Vaughn,20233
23387,Kyle Montes,34086
29043,Mr. Ronald Hoover,30163
9319,Daniel Hurley,19608
30218,Nicole Young,27106
7827,Christopher Mills,1010
32374,Richard Webster,18535
10157,David Soto,39135
27774,Michael Paul,4274
32618,Robert Gregory,16586
3460,Ashley Lane,9667
17183,Jennifer Brown,20669
22932,Kristen Aguirre,30903
21420,Kathryn Trevino,16448
1410,Amanda Ramos,22350
29092,Mr. William Decker,16428
27575,Michael Grant,698
26805,Megan Jones,33257
28769,Mr. Andrew Hall Jr.,377
19718,Joseph Hernandez,9752
5607,Bryan Brock,38349
3651,Austin Henderson,13382
17935,Jessica Bruce MD,14120
22151,Kenneth Green,23669
35325,Shelley Garcia,27132
20575,Justin Douglas,25454
39856,William Faulkner,22043
35819,Stephanie Davis,7214
33183,Ronald Parker,16884
22501,Kevin Tucker,24473
21560,Katrina Allen,39008
907,Alicia Lopez,29797
36075,Stephen Lopez,5142
744,Alexandra Sims,24268
1989,Andrea Lee,26308
30270,Olivia Anderson,12548
28064,Michelle Barnett,8394
19061,Johnathan Mcmahon,15060
10475,Deborah Lawson,26304
10996,Diana Boyd,6702
8794,Crystal Ritter,11743
5967,Carla Mcneil,36083
31104,Peggy Nunez,13535
22249,Kenneth White,16623
24063,Leonard Alvarez,24473
14958,Henry Rogers,8297
14026,George Smith,27582
2883,Anthony Anderson,8403
26886,Meghan Bailey,8701
16587,Jason Phillips,13393
3735,Bailey Ibarra,18065
22054,Kelsey Simpson,21912
34218,Sarah Guerra,12274
38374,Tony Matthews,6284
9927,David Gonzalez,34017
27897,Michael Villanueva,13922
411,Alan Cain,24789
27283,Melissa Turner,34236
663,Alexander Robles,15466
19633,Joseph Carr,35512
10102,David Poole,20291
9009,Cynthia Thomas,29842
31853,Rebecca Reed,6250
36197,Steven Boyle,12470
5707,Bryan Wu,15671
15909,James Quinn,6512
33524,Ryan Rich,12560
15929,James Robinson,12281
12281,Edwin Sparks,11010
38942,Tyler Parsons,13625
22888,Kirk Rich II,6788
2184,Andrew Neal,22012
36595,Susan Silva,25530
25095,Lynn York,20727
12593,Ellen Bush,4771
3085,Anthony Smith,36715
26282,Mary Schwartz,27925
39385,Victoria Osborne,35641
31945,Regina Glass,29000
8669,Craig Ray,22854
6030,Carlos Steele,14125
27795,Michael Pugh,16477
25883,Mark Mccarthy,13660
34798,Shane Green,6434
14640,Hayley Payne,39327
7919,Christopher Sharp,1261
19639,Joseph Chandler,12103
4446,Brandi Elliott,20408
5050,Brian Fox,13822
30887,Paul Coleman,9684
21995,Kelly Thompson,13602
8472,Corey Perez,39804
4244,Blake Phillips,18069
30164,Nicole Phelps,5332
24897,Lorraine Powers,2593
27482,Michael Colon,36450
37150,Taylor Sullivan,31723
29536,Natalie Howell,30016
24757,Lonnie Duncan,12312
5585,Bruce Rivera,6920
19436,Jordan Shannon,21599
8061,Cindy Jones,14765
31984,Reginald Mckinney,30442
37809,Tiffany Hunt,23997
13605,Frank Pierce,31932
30317,Olivia White,2443
23658,Laura Hill,10083
2509,Angela Rogers,15070
15952,James Smith,27546
5018,Brian Cooper,24763
19239,Jonathan Jimenez,11807
3364,Ashley Bishop,7900
6781,Charles Harris,25935
4618,Brandon Richardson,30843
34845,Shane Wong,13820
27760,Michael Oliver,38396
18709,John Cooper,9405
9275,Daniel Freeman,19388
368,Adriana Gould,1375
1301,Amanda Hall,36741
27700,Michael Mcbride,15093
10523,Deborah Wise,36397
33131,Ronald Edwards,26706
31666,Raymond Bowen,27280
18252,Jill Bailey,22006
17423,Jennifer Pope,27490
37069,Taylor Craig,25468
23262,Kristy Waters,29507
12346,Elizabeth Blevins,5469
16237,Janice Jones,24792
18427,Joann Anderson,22859
7505,Christine Mejia,10279
30498,Pamela Reed,35587
39911,William Holmes,16880
14656,Heather Bowman,5967
5349,Brittany Burns,6053
1497,Amber Carpenter,18591
22648,Kimberly Castaneda,14142
18187,Jessica Vasquez,25959
19823,Joseph Robinson,8861
38693,Travis Morales,1823
6297,Carrie Montes,12886
681,Alexander Walters,32077
20650,Justin Paul,20106
8844,Curtis Fox,33444
37442,Theresa Harrison,28637
25882,Mark Maynard,37760
31597,Randy Graham,37595
27634,Michael Jenkins,35170
1737,Amy Johnson,1120
38071,Timothy Wagner,16091
20806,Kara Stevens,32939
9999,David Keller,10563
12751,Emily Sanders,5246
7163,Chris Green,36429
23299,Kurt Hamilton,29457
32256,Richard Jones,8089
5081,Brian Herrera,18036
32767,Robert Perkins,17868
31196,Peter Nunez,3207
11137,Diane Richardson,19413
20334,Julia Monroe,287
27768,Michael Palmer,4024
14847,Hector King,9280
27911,Michael Webster,22553
8015,Christy Maxwell,23243
19458,Jorge Armstrong,283
654,Alexander Patterson,13164
32325,Richard Rodgers,10869
16366,Jasmine King,23533
29497,Nancy Sutton,25493
5331,Brittany Anderson,24157
14748,Heather Long,14714
1722,Amy Hawkins,19588
39274,Victor Fowler,21465
35036,Sharon Hall,34265
16879,Jeffrey Arellano,31547
26197,Mary Johnson,14005
22741,Kimberly Key,36032
37003,Tara Lopez,30716
2449,Angela Lara,38679
23908,Laurie Brewer,33771
25406,Margaret Hensley DVM,8481
183,Adam Bowers,8815
32022,Renee Odom,20677
1372,Amanda Morris,33361
14389,Gregory Oneill,20495
13185,Erika Smith,35548
28146,Michelle Harmon,38046
34830,Shane Russell,7772
32091,Rhonda Miller,34958
111,Aaron Turner,14870
2340,Angela Anderson,1356
5737,Caitlin Jackson,14582
17692,Jeremy Stout,28007
28049,Michele Warren,15684
12866,Eric English,810
35490,Shirley Armstrong,4342
26232,Mary Miller,16113
36153,Steve Anderson,12206
5888,Candice Harris,35630
32081,Rhonda Lucas,27813
8215,Cody Mcintyre,33754
34410,Scott Adams DDS,18171
16459,Jason Dixon,30440
23551,Larry Williams,21945
5887,Candice Gray,16623
27812,Michael Richardson,15995
26744,Megan Allen,35823
19194,Jonathan Crawford,8971
3928,Benjamin Cruz,26538
38579,Tracy Marks,12008
29635,Nathan Benjamin,9498
34050,Sara Cole,6689
34130,Sara Warner,19259
35753,Stanley Moreno,26406
30223,Nina Smith,26183
20645,Justin Nguyen,18549
28030,Michele Ramos,9540
15750,James Harris,23464
5950,Carla Burgess,4419
25052,Luke York,4484
39758,Whitney Phillips,27397
9325,Daniel Johnson,7598
3604,Audrey Lewis,20689
11332,Donald Wagner,33020
24500,Lisa Fisher,11592
1619,Amber Williams,25653
30783,Patrick Medina,299
35378,Sheri Castro,5399
8813,Crystal Thornton,37666
22647,Kimberly Carter,23900
13656,Frederick Arnold,20962
2692,Anna Atkinson,28818
26124,Mary Coleman,15928
17674,Jeremy Parker,37765
11492,Dorothy Garcia,33801
18972,John Sanders,28385
3331,Ashlee Cooper,17931
30208,Nicole Vance,29811
20906,Karen Lynn,26408
31447,Rachel Lopez,28227
33883,Samuel Williams,17751
36362,Steven Rogers,9347
26965,Melanie Lloyd,19636
4276,Bobby Mayo,28142
13502,Fernando Hodge,6745
39052,Valerie Simmons,16663
7074,Cheryl Herrera,21979
18960,John Rodriguez MD,1344
3443,Ashley Jackson,27514
33824,Samuel Hebert,11395
33428,Ryan Garcia,1568
21816,Kelli Gutierrez,2465
22247,Kenneth Watson,11116
18389,Jo Donaldson,25387
33184,Ronald Patrick,30075
24762,Lonnie Patton,6796
13766,Gabrielle Hendrix,30552
4702,Brandy Parsons,14057
3033,Anthony Norris,8786
23182,Kristina Mendez MD,14816
20562,Justin Clark,37728
6888,Charles Schmidt,23429
19071,Johnny Alvarado,34363
30624,Patricia Kidd,24672
